Location,Location_Embedding,Maps_Embedding
Union Hall,https://maps.app.goo.gl/XiX3z7j4xVRu3zyi9,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d48397.452373490436!2d-74.0202510644786!3d40.699504293723045!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25baa7d587be3%3A0xf39381c6df6a429e!2sUnion%20Hall!5e0!3m2!1sen!2sus!4v1703553523211!5m2!1sen!2sus
Film at Lincoln Center,https://maps.app.goo.gl/L48Cz5S4BJostYvr9,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d24171.622903154737!2d-74.00467866826108!3d40.77405717138444!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2585f8fe58d17%3A0xd5b9dd188fe81b33!2sFilm%20at%20Lincoln%20Center!5e0!3m2!1sen!2sus!4v1703553471843!5m2!1sen!2sus
Rockwood Music Hall,https://maps.app.goo.gl/gsWBn6b1NhnMUu2G9,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d24190.441655968036!2d-74.00918086826395!3d40.72230447139203!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25983f4df9ca3%3A0x6de059cf4b23edff!2sRockwood%20Music%20Hall!5e0!3m2!1sen!2sus!4v1703553429489!5m2!1sen!2sus
Brooklyn Bowl,https://maps.app.goo.gl/5UGH8n7AhmhXCQtf9,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d48381.18646966968!2d-73.98828034671061!3d40.72188740000001!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25942cb56b8d1%3A0x541fc9a7033e19c7!2sBrooklyn%20Bowl!5e0!3m2!1sen!2sus!4v1703556777377!5m2!1sen!2sus
Superior Ingredients,https://maps.app.goo.gl/kgptaZN4SCgDVQhn8,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d24190.43642246302!2d-73.97842016826401!3d40.72231887139198!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25942c8d90429%3A0xec3bdb30203a2ba6!2sSuperior%20Ingredients!5e0!3m2!1sen!2sus!4v1703556872523!5m2!1sen!2sus
Baby's All Right,https://maps.app.goo.gl/kyz5HbwnNdXmsvc2A,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d24194.86658265507!2d-73.98408546826461!3d40.71012777139393!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25bdee3c329d5%3A0x50ecd0ad32f9d8bb!2sBaby&#39;s%20All%20Right!5e0!3m2!1sen!2sus!4v1703556974854!5m2!1sen!2sus
CRS (Center for Remembering & Sharing),https://maps.app.goo.gl/WKusJq7cjobstSxd7,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d48373.12596263856!2d-74.02049474671065!3d40.73297549999998!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c259993a081db3%3A0x708a15daa720dc99!2sCRS%20(Center%20for%20Remembering%20%26%20Sharing)!5e0!3m2!1sen!2sus!4v1703559026454!5m2!1sen!2sus
AMC Lincoln Square 13,https://maps.app.goo.gl/oY7ZoWw1D51QQm3M8,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28446.310869482193!2d-73.98942585852274!3d40.777392576184425!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c258868663c9b5%3A0x4edf80205ec39841!2sAMC%20Lincoln%20Square%2013!5e0!3m2!1sen!2sus!4v1705169059774!5m2!1sen!2sus
SoHo Playhouse,https://maps.app.goo.gl/uGBXzuHPyAEpQiJs8,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31804.921350230597!2d-74.01807501608276!3d40.73092425131964!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2598d1ac406a5%3A0x6ffeb53391d27cdc!2sSoHo%20Playhouse!5e0!3m2!1sen!2sus!4v1705169122857!5m2!1sen!2sus
